chapter_id,paragraph_id,text
31_,1,# Chapter 31: Solid Tumors by Organ/System
31_,2,"Cancer represents a heterogeneous group of diseases characterized by uncontrolled cell proliferation, invasion, and metastasis. Understanding the organ-specific manifestations of solid tumors is essential for medical and nursing professionals, as each tumor type presents unique epidemiological patterns, pathophysiology, diagnostic challenges, and therapeutic approaches. This chapter provides a comprehensive overview of the most clinically significant solid tumors, organized by organ system."
31_,3,## 31.1 Breast Cancer
31_,4,### 31.1.1 Epidemiology and Risk Factors
31_,5,"Breast cancer is the most common cancer diagnosed in women and the second most common cause of death from cancer among women worldwide. As of 2020, breast cancer has become the most diagnosed cancer globally, overtaking lung and prostate cancers. In the UK, breast cancer represents almost a third of all newly diagnosed cancers, with a crude incidence rate of 76.3 per 100,000 persons, though all except 287 cases were found in women."
31_,6,"Most breast cancer is sporadic (90%-95%), with only 5% to 10% of patients having an identifiable genetic mutation. BRCA 1 and 2 are the most common associated genetic conditions. There are no pathognomonic features distinguishing breast and ovarian cancers occurring in carriers of BRCA1 or BRCA2 pathogenic variants from those occurring in noncarriers."
31_,7,### 31.1.2 Pathology and Molecular Subtypes
31_,8,"Invasive ductal and invasive lobular carcinoma are the most common pathologic forms of invasive breast cancer. Carcinogenesis occurs due to a complex interplay of genetic and environmental risk factors, hormonal influences, and patient-related factors."
31_,9,The molecular classification of breast cancer has revolutionized treatment approaches:
31_,10,"**Luminal A**: Hormone receptor-positive, human epidermal growth factor receptor (HER)-2 negative"
31_,11,"**Luminal B**: Hormone receptor-positive, HER-2 positive"
31_,12,"**HER2-enriched**: HER-2 enriched tumors are more aggressive, with a poor prognosis without targeted therapy"
31_,13,"**Triple-negative**: TNBC is defined as the absence of staining for ER, PR, and HER2/neu. TNBC is insensitive to some of the most effective therapies available for breast cancer treatment including HER2-directed therapy such as trastuzumab and endocrine therapies such as tamoxifen or the aromatase inhibitors."
31_,14,### 31.1.3 Staging and Prognosis
31_,15,Breast cancer staging is determined clinically and histologically. Clinical breast cancer staging is based on physical examination and imaging studies before treatment. Histopathologic breast cancer staging is determined by pathologic examination of the primary tumor and regional lymph nodes after definitive surgical treatment.
31_,16,The Pathological Prognostic Stage Group table is used for all patients in the United States who have surgery as initial treatment and have pathological T and N information reported.
31_,17,### 31.1.4 Treatment Approaches
31_,18,"Breast cancer treatment is nuanced and based on various factors, including the disease stage, pathology, patient preference, and available resources. In general, breast cancer management approaches are divided into early breast cancer, locally advanced breast cancer, and metastatic breast cancer treatment."
31_,19,"**Early Breast Cancer**: Early breast cancer includes tumors <5 cm in size without clinically positive lymph nodes. Treatment involves surgery, chemotherapy, radiation, and hormonal therapy, depending on the stage and molecular profile."
31_,20,"**Surgical Options**: Surgical treatment: Options to excise the primary tumor include breast conservation surgery (eg, partial mastectomy or lumpectomy) or a total mastectomy."
31_,21,**Systemic Therapy**: Combination cytotoxic chemotherapy administered in a dose-dense or metronomic schedule remains the standard therapy for early-stage TNBC.
31_,22,## 31.2 Lung Cancer
31_,23,### 31.2.1 Epidemiology and Classification
31_,24,"Lung cancer or bronchogenic carcinoma refers to tumors originating in the lung parenchyma or within the bronchi. It is one of the leading causes of cancer-related deaths in the United States. Since 1987, lung cancer has been responsible for more deaths in women than breast cancer. Lung cancer is a diagnosis that approximately 230,000 United States citizens will receive annually. Deaths are estimated at 135,000 patients per year."
31_,25,Lung cancer is histologically divided into 2 main types: small cell lung cancer (SCLC) and non-small cell lung cancer (NSCLC). SCLC comprises about 15% of lung cancer while NSCLC comprises approximately 85%.
31_,26,### 31.2.2 Risk Factors
31_,27,"Approximately 80% of lung cancer cases in men and 90% of cases in women are associated with smoking. SCC is more strongly associated with smoking than any other type of NSCLC. Other risk factors for SCC include age, family history, exposure to second-hand smoke, and exposure to minerals, metal particles, or asbestos."
31_,28,### 31.2.3 Non-Small Cell Lung Cancer (NSCLC)
31_,29,"**Pathological Subtypes**:
Lung adenocarcinoma is the most common primary lung cancer seen in the United States. It falls under the umbrella of non-small cell lung cancer (NSCLC) and has a strong association with previous smoking. Adenocarcinoma of the lung usually evolves from the mucosal glands and represents about 40% of all lung cancers."
31_,30,"Adenosquamous carcinomas are lung tumors with more than 10% glandular and squamous components. This is an uncommon and highly aggressive lung tumor, and current recommendations propose adjuvant chemotherapy even in Stage I radically resected tumors."
31_,31,"**Staging and Prognosis**:
Metabolic activity on PET scan has been shown to have a poor prognosis in stages I-IV NSCLC. Recurrence after complete resection has been cited at 41 percent, with the median time to recurrence at 11.5 months and median survival of 8.1 months."
